# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.627060262407947302e+09,0.000000000000000000e+00,-1.156392696771736889e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.627060262408945084e+09,2.130428897950264739e-06,-4.202773791803782188e-04,0.000000000000000000e+00,-7.004622986339636473e-06
3.333333333333333287e-02,1.627060262408945084e+09,8.528138547446520931e-06,-1.156392696771736889e-03,2.311564509245769924e-06,-2.623930852404781890e-05
5.000000000000000278e-02,1.627060262425901651e+09,1.918061565972090630e-05,-1.156392696771736889e-03,8.929607629250116608e-06,-4.536369334308926708e-05
6.666666666666666574e-02,1.627060262442856550e+09,3.404766986135147460e-05,-1.156392696771736889e-03,1.938664364426850897e-05,-6.431379422854707122e-05
8.333333333333332871e-02,1.627060262459810257e+09,5.306457027064012319e-05,-1.156392696771736889e-03,3.323248673174234320e-05,-8.303313106254698065e-05
1.000000000000000056e-01,1.627060262477797985e+09,7.614612782775140754e-05,-1.156392696771736889e-03,5.004337723108583433e-05,-1.014722863882245029e-04
1.166666666666666685e-01,1.627060262493718863e+09,1.031916607310907257e-04,-1.156392696771736889e-03,6.943097944776826938e-05,-1.195883150102906465e-04
1.333333333333333315e-01,1.627060262510674477e+09,1.340907605423879772e-04,-1.156392696771736889e-03,9.105112299344314097e-05,-1.373440079065955358e-04
1.499999999999999944e-01,1.627060262528625488e+09,1.687297578387661912e-04,-1.156392696771736889e-03,1.146121613922294484e-04,-1.547070168295873330e-04
1.666666666666666574e-01,1.627060262546616316e+09,2.069987690355363011e-04,-1.156392696771736889e-03,1.398828250078447280e-04,-1.716488480256521897e-04
1.833333333333333204e-01,1.627060262562571049e+09,2.487991904833782172e-04,-1.156392696771736889e-03,1.666994502358407407e-04,-1.881437354679171359e-04
2.000000000000000111e-01,1.627060262579563141e+09,2.940514924390413474e-04,-1.156392696771736889e-03,1.949724733110246673e-04,-2.041674058589290099e-04
2.166666666666666741e-01,1.627060262595485687e+09,3.427031542728839930e-04,-1.156392696771736889e-03,2.246920849356601451e-04,-2.196957493895302781e-04
2.333333333333333370e-01,1.627060262614439011e+09,3.947365735306267143e-04,-1.156392696771736889e-03,2.559329511554289433e-04,-2.347034118164687357e-04
2.500000000000000000e-01,1.627060262631389141e+09,4.501767753963760617e-04,-1.156392696771736889e-03,2.888579163972171187e-04,-2.491623248227107590e-04
2.666666666666666630e-01,1.627060262648379326e+09,5.090987458564648436e-04,2.177935551124730688e-03,3.237206162201502081e-04,-2.074680553669627640e-04
2.833333333333333259e-01,1.627060262664301634e+09,5.716342115451588952e-04,2.177935551124730688e-03,3.608669399894174094e-04,-1.651546805150603029e-04
2.999999999999999889e-01,1.627060262682101250e+09,6.379776919269702223e-04,2.177935551124730688e-03,4.007352972191903853e-04,-1.221768330426616165e-04
3.166666666666666519e-01,1.627060262699018240e+09,7.083916551550218689e-04,2.177935551124730688e-03,4.438556555930660524e-04,-7.848031293069835648e-05
3.333333333333333148e-01,1.627060262716010332e+09,7.832106176143152718e-04,2.177935551124730688e-03,4.908473334952810716e-04,-3.400059818703149743e-05
3.499999999999999778e-01,1.627060262731930494e+09,8.628440387412762268e-04,2.177935551124730688e-03,5.424155451030695380e-04,1.133858675009850544e-05
3.666666666666666408e-01,1.627060262749927759e+09,9.477778770902709794e-04,2.177935551124730688e-03,5.993467115238379538e-04,5.762662446090797107e-05
3.833333333333333037e-01,1.627060262766891003e+09,1.038574690633870413e-03,2.177935551124730688e-03,6.625025669302883396e-04,1.049672597618249513e-04
4.000000000000000222e-01,1.627060262782828093e+09,1.135872183734691968e-03,2.177935551124730688e-03,7.328131039704071726e-04,1.534797373467439228e-04
4.166666666666666852e-01,1.627060262799752712e+09,1.240380124871115746e-03,2.177935551124730688e-03,8.112684177257091381e-04,2.032998034942512424e-04
4.333333333333333481e-01,1.627060262817703724e+09,1.352875582759167222e-03,2.177935551124730688e-03,8.989095219807449050e-04,2.545805547126758230e-04
4.500000000000000111e-01,1.627060262833712101e+09,1.474196453676992775e-03,2.177935551124730688e-03,9.968182253746087421e-04,3.074931176543314730e-04
4.666666666666666741e-01,1.627060262850617170e+09,1.605233279226337762e-03,2.177935551124730688e-03,1.106106167961873939e-03,3.622271463057748545e-04
4.833333333333333370e-01,1.627060262867581606e+09,1.746919381091921247e-03,2.177935551124730688e-03,1.227903130655348543e-03,4.189911243354428345e-04
5.000000000000000000e-01,1.627060262885519743e+09,1.900219367199473168e-03,2.177935551124730688e-03,1.363344740805535029e-03,4.780124625342806145e-04
5.166666666666666075e-01,1.627060262901513577e+09,2.066116091626106661e-03,2.177935551124730688e-03,1.513559706652565281e-03,5.395373834972355762e-04
5.333333333333333259e-01,1.627060262918547153e+09,2.245596178273289237e-03,2.177935551124730688e-03,1.679656721440301237e-03,6.038305880399861408e-04
5.500000000000000444e-01,1.627060262934536457e+09,2.439634245259130266e-03,2.177935551124730688e-03,1.862711184498509970e-03,6.711747003003735394e-04
5.666666666666666519e-01,1.627060262950944901e+09,2.649175992811532345e-03,2.177935551124730688e-03,2.063751891483204919e-03,7.418694910105057272e-04
5.833333333333333703e-01,1.627060262967897415e+09,2.875120341742633430e-03,2.177935551124730688e-03,2.283747849140700063e-03,8.162308810149295586e-04
5.999999999999999778e-01,1.627060262984884501e+09,3.118300831966967605e-03,2.177935551124730688e-03,2.523595371369204924e-03,8.945897297231617754e-04
6.166666666666666963e-01,1.627060263001808405e+09,3.379466510619310530e-03,2.177935551124730688e-03,2.784105612953753986e-03,9.772904157911365634e-04
6.333333333333333037e-01,1.627060263018796206e+09,3.659262556784995644e-03,2.177935551124730688e-03,3.065992695127233141e-03,1.064689219895336054e-03
6.500000000000000222e-01,1.627060263035716772e+09,3.958210904358296783e-03,2.177935551124730688e-03,3.369862573062867069e-03,1.157152521965129372e-03
6.666666666666666297e-01,1.627060263052706480e+09,4.276691135808951758e-03,2.177935551124730688e-03,3.696202789554030223e-03,1.255054827643108800e-03
6.833333333333333481e-01,1.627060263069657803e+09,4.614921927418852779e-03,-4.458002800339159501e-03,4.045373251527383668e-03,1.248177668496245826e-03
6.999999999999999556e-01,1.627060263087579250e+09,4.972943330648082333e-03,-4.458002800339159501e-03,4.417598156728045483e-03,1.247504257769393912e-03
7.166666666666666741e-01,1.627060263103569031e+09,5.350600174546557390e-03,-4.458002800339159501e-03,4.812959186992210245e-03,1.253420197546944830e-03
7.333333333333332815e-01,1.627060263121487856e+09,5.747526870438219963e-03,-4.458002800339159501e-03,5.231390072085339259e-03,1.266309985409381231e-03
7.500000000000000000e-01,1.627060263138476133e+09,6.163133892414730981e-03,-4.458002800339159501e-03,5.672672614251282781e-03,1.286554482307916561e-03
7.666666666666666075e-01,1.627060263155429602e+09,6.596596195483001891e-03,-4.458002800339159501e-03,6.136434248526536663e-03,1.314528339777706108e-03
7.833333333333333259e-01,1.627060263173385382e+09,7.046843817569341771e-03,-4.458002800339159501e-03,6.622147197675516683e-03,1.350597413066645380e-03
8.000000000000000444e-01,1.627060263190304518e+09,7.512554892099411984e-03,-4.458002800339159501e-03,7.129129263464420961e-03,1.395116187452066303e-03
