# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# time,realtime,ref,inp,dis,state...
0.000000000000000000e+00,1.627063728803245544e+09,0.000000000000000000e+00,9.294283673575117963e-03,0.000000000000000000e+00,0.000000000000000000e+00
1.666666666666666644e-02,1.627063728804272890e+09,2.274202201737936387e-06,3.377898524086042631e-03,0.000000000000000000e+00,5.629830873476737447e-05
3.333333333333333287e-02,1.627063728805237532e+09,8.986056890389077312e-06,9.294283673575117963e-03,1.958619917619665073e-06,2.112356802929796565e-04
5.000000000000000278e-02,1.627063728822191000e+09,2.000603544314163439e-05,9.294283673575117963e-03,7.749762686452787671e-06,3.662695708973391813e-04
6.666666666666666574e-02,1.627063728839147806e+09,3.525827532788600578e-05,9.294283673575117963e-03,1.721437150396176393e-05,5.214612049819905559e-04
8.333333333333332871e-02,1.627063728856264591e+09,5.472606463527760991e-05,9.294283673575117963e-03,3.015218991187075014e-05,6.768684693734403545e-04
1.000000000000000056e-01,1.627063728873218775e+09,7.845652597998119065e-05,9.294283673575117963e-03,4.632456249389736583e-05,8.325452733079238919e-04
1.166666666666666685e-01,1.627063728889175892e+09,1.065644130720995203e-04,9.294283673575117963e-03,6.545842480154917087e-05,9.885409749475350220e-04
1.333333333333333315e-01,1.627063728907133579e+09,1.392349438053946660e-04,9.294283673575117963e-03,8.725145270402088538e-05,1.144899893718853917e-03
1.499999999999999944e-01,1.627063728923083544e+09,1.767256053232233218e-04,9.294283673575117963e-03,1.113783186479739093e-04,1.301660926922572174e-03
1.666666666666666574e-01,1.627063728940038204e+09,2.193668790728962631e-04,9.294283673575117963e-03,1.374979800415245120e-04,1.458857287816182815e-03
1.833333333333333204e-01,1.627063728956993103e+09,2.675618471995492111e-04,9.294283673575117963e-03,1.652619035054408352e-04,1.616516380767525499e-03
2.000000000000000111e-01,1.627063728973948240e+09,3.217846556066487028e-04,9.294283673575117963e-03,1.943231084161992116e-04,1.774659827134047498e-03
